timestamp,age_group,gender,program_of_study,study_programme,study_hours_weekdays,study_hours_weekends,session_length,review_notes,attendance_rate,sleep_hours,screen_time,stress_level,motivation_level,time_management,learning_satisfaction,average_gpa,gpa_range,study_habit_effect,study_hours_weekdays_num,study_hours_weekends_num,sleep_hours_num,screen_time_num,attendance_rate_num,review_notes_num,stress_band,sleep_band
2025-10-12 14:06:57.155,<18,Female,Interior Architecture,Foundation,3 - 4 hours,I don’t study on weekends,30–59 minutes,Sometimes,75-89%,7-8,6-8 hours,2,3,3,3,3.0,2.5-2.99,"Yes, significantly",3.5,,7.5,7.0,0.82,2,Low,Good
2025-10-12 15:02:14.660,18 - 22,Male,Data Science,Advanced Diploma,Less than 1 hour,Less than 1 hour,1–2 hours,Sometimes,≥90%,7-8,6-8 hours,4,3,3,3,2.5443037974683542,3.0-3.49,Somewhat,0.5,0.5,7.5,7.0,0.95,2,Medium,Good
2025-10-12 15:40:54.626,23 - 26,Male,Data Science,Higher National Diploma,3 - 4 hours,2–3 hours,<30 minutes,Often,75-89%,6-7,2-4 hours,5,3,3,3,3.0,3.0-3.49,Somewhat,3.5,2.5,6.5,3.0,0.82,3,High,Good
2025-10-12 15:50:26.430,23 - 26,Male,Food Science and Technology ,Bsc,More than 5 hours,2–3 hours,30–59 minutes,Sometimes,75-89%,5-6,2-4 hours,3,3,3,4,2.5443037974683542,3.0-3.49,"Yes, significantly",2.6066666666666665,2.5,5.5,3.0,0.82,2,Medium,Good
2025-10-12 16:12:15.369,18 - 22,Male,Data Science,Higher National Diploma,2 - 3 hours,3–4 hours,30–59 minutes,Sometimes,50–74%,8-9,<2 hours,2,3,3,3,2.0,2.5-2.99,"Yes, significantly",2.5,3.5,8.5,0.5,0.62,2,Low,Good
2025-10-12 16:19:23.500,23 - 26,Female,Engineering ,Bsc,More than 5 hours,1–2 hours,30–59 minutes,Often,≥90%,6-7,4-6 hours,4,4,3,4,2.0,3.0-3.49,"Yes, significantly",2.6066666666666665,1.5,6.5,5.0,0.95,3,Medium,Good
2025-10-12 16:26:07.946,18 - 22,Male,Food science and technology ,Bsc,4 -5 hours,1–2 hours,30–59 minutes,Sometimes,≥90%,8-9,4-6 hours,3,2,3,3,2.0,2.5-2.99,Somewhat,2.6066666666666665,1.5,8.5,5.0,0.95,2,Medium,Good
2025-10-12 16:43:00.386,18 - 22,Female,Engineering,Bsc,4 -5 hours,I don’t study on weekends,<30 minutes,Sometimes,50–74%,6-7,2-4 hours,5,1,1,3,3.0,3.0-3.49,"Yes, significantly",2.6066666666666665,,6.5,3.0,0.62,2,High,Good
2025-10-12 17:06:26.096,18 - 22,Female,Data Science,Bsc,5 - 6 hours,More than 5 hours,<30 minutes,Sometimes,75-89%,8-9,4-6 hours,3,3,3,3,3.0,3.0-3.49,"Yes, significantly",5.5,9.5,8.5,5.0,0.82,2,Medium,Good
2025-10-12 17:12:19.685,18 - 22,Male,Engineering,Bsc,1 - 2 hours,I don’t study on weekends,1–2 hours,Sometimes,75-89%,7-8,<2 hours,3,2,3,3,3.0,3.0-3.49,Somewhat,1.5,,7.5,0.5,0.82,2,Medium,Good
